User ID,Session Duration,Order Frequency,Cart Abandonment Rate,Food Category,Total Spend,Promo Usage,Device Type,Review Score,Geolocation,Converted
U1055,3175,7,0.85,Pizza,10.92,False,Tablet,4.9,Delhi,0
U4502,3550,4,0.88,Indian,224.76,True,Desktop,4.2,Bangalore,0
U7742,1911,8,0.29,Indian,478.09,False,Mobile,2.8,Bangalore,1
U5683,1688,4,0.24,Chinese,58.33,True,Desktop,4.0,Delhi,0
U6859,2819,10,0.59,Mexican,220.79,True,Mobile,3.0,Mumbai,0
U3118,2415,12,0.22,Dessert,438.28,False,Desktop,4.3,Delhi,1
U5785,678,14,0.95,Indian,115.22,True,Tablet,2.5,Delhi,0
U3269,1393,15,0.89,Mexican,65.59,True,Desktop,3.3,Kolkata,0
U3528,3487,16,0.65,Dessert,393.31,False,Tablet,4.0,Hyderabad,0
U1510,166,16,0.63,Mexican,186.82,True,Tablet,1.8,Chennai,0
U3368,2075,10,0.4,Burger,349.82,False,Desktop,2.4,Kolkata,1
U3091,2884,4,0.79,Indian,60.33,True,Mobile,5.0,Mumbai,0
U5473,374,7,0.49,Pizza,303.58,True,Mobile,2.4,Bangalore,0
U2794,1279,19,0.6,Chinese,83.91,False,Tablet,1.3,Hyderabad,0
U6175,855,16,0.25,Burger,100.42,True,Mobile,2.5,Delhi,1
U3919,972,4,0.45,Indian,426.75,False,Mobile,2.3,Bangalore,0
U6613,508,9,0.49,Pizza,309.08,False,Mobile,1.1,Bangalore,0
U8427,3113,12,0.02,Indian,176.65,False,Desktop,4.1,Chennai,1
U7031,2230,19,0.35,Burger,39.36,False,Mobile,3.3,Chennai,1
U3531,2168,10,0.09,Burger,127.63,True,Mobile,1.4,Bangalore,1
U7552,2818,18,0.06,Indian,33.81,False,Tablet,2.4,Delhi,1
U5476,2962,2,0.43,Pizza,480.6,True,Desktop,4.7,Hyderabad,0
U5399,3463,14,0.73,Chinese,187.85,True,Tablet,4.5,Mumbai,0
U9548,3594,18,0.14,Burger,29.8,True,Mobile,2.2,Delhi,1
U2908,2910,7,0.39,Mexican,19.3,False,Desktop,2.2,Bangalore,1
U3869,1539,18,0.66,Indian,134.01,True,Desktop,4.7,Kolkata,0
U2638,519,9,0.66,Indian,221.11,True,Mobile,2.1,Bangalore,0
U2234,413,4,1.0,Chinese,126.26,True,Mobile,3.2,Hyderabad,0
U4629,3175,4,0.93,Mexican,99.35,True,Mobile,4.7,Kolkata,0
U4091,882,16,0.87,Burger,35.4,False,Mobile,4.0,Delhi,0
U4080,721,10,0.48,Chinese,105.07,True,Tablet,2.1,Hyderabad,1
U7671,3158,12,0.8,Pizza,269.82,True,Tablet,1.8,Kolkata,0
U1557,837,5,0.42,Indian,284.76,False,Desktop,4.4,Chennai,0
U6972,616,9,0.24,Pizza,296.06,True,Mobile,4.5,Chennai,1
U7396,1859,3,0.82,Chinese,489.93,False,Desktop,3.9,Bangalore,0
U3619,2418,11,0.28,Mexican,220.78,True,Mobile,4.4,Bangalore,1
U6294,2799,0,0.78,Chinese,497.75,False,Mobile,1.4,Mumbai,0
U6170,2415,11,0.53,Dessert,99.54,False,Tablet,2.6,Hyderabad,0
U2014,3031,2,0.74,Mexican,334.49,True,Mobile,2.6,Bangalore,0
U7800,1209,12,0.08,Chinese,388.29,False,Tablet,2.8,Kolkata,1
U2141,1352,15,0.59,Indian,193.5,False,Mobile,4.7,Delhi,0
U5672,2157,2,0.27,Dessert,264.56,False,Desktop,1.4,Kolkata,0
U2083,3391,6,0.19,Dessert,239.62,False,Mobile,4.8,Hyderabad,1
U3716,1556,4,0.97,Mexican,140.42,True,Tablet,3.8,Chennai,0
U8601,3169,17,0.13,Indian,77.2,False,Desktop,4.7,Hyderabad,1
U6201,1342,9,0.23,Pizza,424.85,True,Mobile,3.9,Bangalore,1
U5194,3041,6,0.89,Indian,420.2,True,Tablet,4.6,Kolkata,0
U2685,1470,18,0.26,Burger,242.26,True,Desktop,1.6,Bangalore,1
U8595,2978,10,0.8,Chinese,442.03,False,Tablet,4.5,Hyderabad,0
